MATLAB,Python,Difference,Relative Difference,MATLAB Derivative (Newton approx),Python Derivative (Newton Approximation),Difference,
1.3147,1.31519,-0.00049,-0.000371797,0.0072,0.00713,0.00007,
1.317,1.31751,-0.00051,-0.00038964,0.0023,0.00232,-0.00002,
1.3051,1.30557,-0.00047,-0.000361802,-0.0119,-0.01194,0.00004,
1.2672,1.26766,-0.00046,-0.000364105,-0.0379,-0.03791,0.00001,
1.3124,1.31297,-0.00057,-0.000431711,0.0452,0.04531,-0.00011,
1.3106,1.31111,-0.00051,-0.000391254,-0.0018,-0.00185,0.00005,
1.3369,1.33744,-0.00054,-0.000407188,0.0263,0.02633,-0.00003,
1.3429,1.34344,-0.00054,-0.000399951,0.006,0.00599,0.00001,
1.3439,1.3444,-0.0005,-0.000375087,0.001,0.00097,0.00003,
1.3701,1.37069,-0.00059,-0.000427887,0.0262,0.02628,-0.00008,
1.3888,1.38939,-0.00059,-0.000422215,0.0187,0.0187,0,
1.3879,1.3884,-0.0005,-0.000360243,-0.0009,-0.00099,0.00009,
1.3918,1.39232,-0.00052,-0.000377084,0.0039,0.00392,-0.00002,
1.3957,1.3963,-0.0006,-0.000432743,0.0039,0.00398,-0.00008,
1.3726,1.37321,-0.00061,-0.000441619,-0.0231,-0.0231,0,
1.4051,1.40567,-0.00057,-0.000406707,0.0325,0.03247,0.00003,
1.4081,1.4087,-0.0006,-0.000422769,0.003,0.00302,-0.00002,
1.4073,1.40787,-0.00057,-0.000403382,-0.0008,-0.00083,0.00003,
1.4064,1.40697,-0.00057,-0.000406871,-0.0009,-0.0009,0,
1.3969,1.39747,-0.00057,-0.000410434,-0.0095,-0.0095,0,
1.3944,1.39492,-0.00052,-0.000375863,-0.0025,-0.00255,0.00005,
1.382,1.38255,-0.00055,-0.000396748,-0.0124,-0.01238,-0.00002,
1.3762,1.37676,-0.00056,-0.000409163,-0.0058,-0.00579,-0.00001,
1.3831,1.38363,-0.00053,-0.000381608,0.0069,0.00686,0.00004,
1.3855,1.38604,-0.00054,-0.000386751,0.0024,0.00241,-0.00001,
1.4,1.40059,-0.00059,-0.000418479,0.0145,0.01455,-0.00005,
1.4007,1.4013,-0.0006,-0.000429529,0.0007,0.00072,-0.00002,
1.4159,1.4165,-0.0006,-0.000426454,0.0152,0.0152,0,
1.4328,1.43345,-0.00065,-0.000452661,0.0169,0.01694,-0.00004,
1.4491,1.44974,-0.00064,-0.000439698,0.0163,0.01629,0.00001,
1.4434,1.44401,-0.00061,-0.000423556,-0.0057,-0.00573,0.00003,
1.4486,1.38201,0.06659,0.045966437,0.0052,-0.062,0.0672,
1.4488,1.38219,0.06661,0.045973667,0.0002,0.00018,0.00002,
1.4559,1.38906,0.06684,0.045906759,0.0071,0.00687,0.00023,
1.4481,1.38165,0.06645,0.045886607,-0.0078,-0.00741,-0.00039,
1.4273,1.36181,0.06549,0.045885117,-0.0208,-0.01984,-0.00096,
1.4497,1.38309,0.06661,0.04594425,0.0224,0.02129,0.00111,
1.4462,1.37973,0.06647,0.04596161,-0.0035,-0.00336,-0.00014,
1.4541,1.38732,0.06678,0.045923775,0.0079,0.00759,0.00031,
1.4555,1.38858,0.06692,0.045980284,0.0014,0.00125,0.00015,
1.4546,1.38778,0.06682,0.045940343,-0.0009,-0.0008,-0.0001,
1.4573,1.39036,0.06694,0.045937656,0.0027,0.00258,0.00012,
1.4702,1.40263,0.06757,0.045962038,0.0129,0.01227,0.00063,
1.4624,1.39514,0.06726,0.045991782,-0.0078,-0.00748,-0.00032,
1.4519,1.38516,0.06674,0.045967326,-0.0105,-0.00998,-0.00052,
1.4666,1.3993,0.0673,0.045888994,0.0147,0.01414,0.00056,
1.4585,1.39151,0.06699,0.045930167,-0.0081,-0.00779,-0.00031,
1.4478,1.38126,0.06654,0.045962707,-0.0107,-0.01026,-0.00044,
1.451,1.38435,0.06665,0.045930596,0.0032,0.0031,0.0001,
1.4535,1.38678,0.06672,0.045905502,0.0025,0.00242,0.00008,
1.4549,1.38841,0.06649,0.045700122,0.0014,0.00163,-0.00023,
1.4583,1.39171,0.06659,0.045662541,0.0034,0.0033,0.0001,
1.4635,1.39649,0.06701,0.045785375,0.0052,0.00478,0.00042,
1.4816,1.41372,0.06788,0.04581547,0.0181,0.01723,0.00087,
1.507,1.438,0.069,0.045789068,0.0254,0.02428,0.00112,
1.5126,1.44338,0.06922,0.045763823,0.0056,0.00538,0.00022,
1.5189,1.4493,0.0696,0.045820954,0.0063,0.00592,0.00038,
1.5365,1.46612,0.07038,0.045802473,0.0176,0.01682,0.00078,
1.5321,1.46188,0.07022,0.045829642,-0.0044,-0.00424,-0.00016,
1.5174,1.44802,0.06938,0.045719662,-0.0147,-0.01386,-0.00084,
1.5233,1.45352,0.06978,0.045809165,0.0059,0.00549,0.00041,
1.5227,1.45295,0.06975,0.045805166,-0.0006,-0.00057,-0.00003,
1.5262,1.45634,0.06986,0.04577308,0.0035,0.00339,0.00011,
1.5278,1.45774,0.07006,0.0458589,0.0016,0.0014,0.0002,
1.5296,1.45947,0.07013,0.045849789,0.0018,0.00173,0.00007,
1.5154,1.44586,0.06954,0.045891351,-0.0142,-0.01361,-0.00059,
1.5369,1.46638,0.07052,0.045886544,0.0215,0.02052,0.00098,
1.5304,1.46016,0.07024,0.045894762,-0.0065,-0.00621,-0.00029,
1.5162,1.44654,0.06966,0.045941137,-0.0142,-0.01362,-0.00058,
1.5128,1.44334,0.06946,0.045912966,-0.0034,-0.0032,-0.0002,
1.5205,1.45073,0.06977,0.04588602,0.0077,0.00739,0.00031,
1.5218,1.45201,0.06979,0.04586312,0.0013,0.00128,0.00002,
1.5283,1.45812,0.07018,0.045920781,0.0065,0.00611,0.00039,
1.5346,1.4642,0.0704,0.045873313,0.0063,0.00608,0.00022,
1.5409,1.47013,0.07077,0.045927883,0.0063,0.00593,0.00037,
1.5604,1.48881,0.07159,0.045878432,0.0195,0.01868,0.00082,
1.5563,1.4849,0.0714,0.045876739,-0.0041,-0.00391,-0.00019,
1.5645,1.49271,0.07179,0.045888229,0.0082,0.00781,0.00039,
1.5495,1.47842,0.07108,0.045870636,-0.015,-0.01428,-0.00072,
1.5643,1.49252,0.07178,0.045888611,0.0148,0.01409,0.00071,
1.5707,1.49865,0.07205,0.045868724,0.0064,0.00614,0.00026,
1.5707,1.49859,0.07211,0.045908962,0,-0.00006,0.00006,
1.571,1.4989,0.0721,0.045895879,0.0003,0.00031,-0.00001,
1.5601,1.48851,0.07159,0.045886159,-0.0109,-0.01038,-0.00052,
1.5685,1.49645,0.07205,0.045933335,0.0084,0.00794,0.00046,
1.5623,1.49057,0.07173,0.045909984,-0.0062,-0.00588,-0.00032,
1.5652,1.49339,0.07181,0.045880858,0.0029,0.00281,0.00009,
1.5755,1.50324,0.07226,0.045866601,0.0103,0.00985,0.00045,
1.569,1.49705,0.07195,0.045858004,-0.0065,-0.00619,-0.00031,
1.5713,1.49924,0.07206,0.045863257,0.0023,0.00219,0.00011,
1.5784,1.43737,0.14103,0.089352959,0.0071,-0.06187,0.06897,
1.6189,1.47431,0.14459,0.089314315,0.0405,0.03694,0.00356,
1.6228,1.47787,0.14493,0.089308009,0.0039,0.00356,0.00034,
1.6371,1.49082,0.14628,0.08935554,0.0143,0.01295,0.00135,
1.6144,1.47007,0.14433,0.089398719,-0.0227,-0.02074,-0.00196,
1.6317,1.48583,0.14587,0.089398362,0.0173,0.01575,0.00155,
1.6391,1.49253,0.14657,0.089420268,0.0074,0.0067,0.0007,
1.6665,1.44994,0.21656,0.129947327,0.0274,-0.04259,0.06999,
1.6698,1.45282,0.21698,0.129945128,0.0033,0.00287,0.00043,
1.7126,1.48995,0.22265,0.130007031,0.0428,0.03713,0.00567,
1.7359,1.4432,0.2927,0.168614736,0.0233,-0.04675,0.07005,
1.7261,1.435,0.2911,0.16864468,-0.0098,-0.0082,-0.0016,
1.7021,1.41498,0.28712,0.168688219,-0.024,-0.02003,-0.00397,
1.6933,1.40778,0.28552,0.168619058,-0.0088,-0.0072,-0.0016,
1.702,1.41491,0.28709,0.168678021,0.0087,0.00713,0.00157,
1.6955,1.40947,0.28603,0.168697867,-0.0065,-0.00544,-0.00106,
1.6851,1.40077,0.28433,0.168733437,-0.0104,-0.00871,-0.00169,
1.664,1.31871,0.34529,0.20750898,-0.0211,-0.08206,0.06096,
1.646,1.24242,0.40358,0.245188604,-0.018,-0.07629,0.05829,
1.6797,1.26781,0.41189,0.245214401,0.0337,0.02539,0.00831,
1.662,1.25447,0.40753,0.245202725,-0.0177,-0.01334,-0.00436,
1.6613,1.25393,0.40737,0.245212132,-0.0007,-0.00054,-0.00016,
1.6662,1.25777,0.40843,0.245128946,0.0049,0.00384,0.00106,
1.6723,1.26231,0.40999,0.245167779,0.0061,0.00454,0.00156,
1.6763,1.26522,0.41108,0.245232968,0.004,0.00291,0.00109,
1.6726,1.26242,0.41018,0.245235076,-0.0037,-0.0028,-0.0009,
1.6731,1.26265,0.41045,0.245321268,0.0005,0.00023,0.00027,
1.6827,1.27005,0.41265,0.245230229,0.0096,0.0074,0.0022,
1.6895,1.2757,0.4138,0.24492588,0.0068,0.00565,0.00115,
1.6925,1.2779,0.4146,0.244962478,0.003,0.0022,0.0008,
1.685,1.27212,0.41288,0.245031908,-0.0075,-0.00578,-0.00172,
1.686,1.27287,0.41313,0.245035797,0.001,0.00075,0.00025,
1.685,1.27214,0.41286,0.245022326,-0.001,-0.00073,-0.00027,
1.6753,1.26469,0.41061,0.245097993,-0.0097,-0.00745,-0.00225,
1.6625,1.25511,0.40739,0.245046594,-0.0128,-0.00958,-0.00322,
1.6679,1.25914,0.40876,0.245074349,0.0054,0.00403,0.00137,
1.6756,1.26493,0.41067,0.245088748,0.0077,0.00579,0.00191,
1.6803,1.26852,0.41178,0.24506326,0.0047,0.00359,0.00111,
1.6787,1.26728,0.41142,0.245080044,-0.0016,-0.00124,-0.00036,
1.6752,1.26466,0.41054,0.245067028,-0.0035,-0.00262,-0.00088,
1.6677,1.25898,0.40872,0.245078502,-0.0075,-0.00568,-0.00182,
1.6733,1.26331,0.40999,0.245020865,0.0056,0.00432,0.00128,
1.6595,1.25288,0.40662,0.245026444,-0.0138,-0.01043,-0.00337,
1.6478,1.24407,0.40373,0.245010946,-0.0117,-0.00881,-0.00289,
1.6423,1.23971,0.40259,0.245139989,-0.0055,-0.00436,-0.00114,
1.6185,1.22179,0.39671,0.245110485,-0.0238,-0.01792,-0.00588,
1.6249,1.22659,0.39831,0.245128621,0.0064,0.0048,0.0016,
1.6208,1.22346,0.39734,0.245150549,-0.0041,-0.00313,-0.00097,
1.6453,1.24198,0.40332,0.24513482,0.0245,0.01852,0.00598,
1.6403,1.23829,0.40201,0.245080925,-0.005,-0.00369,-0.00131,
1.6557,1.24985,0.40585,0.24512338,0.0154,0.01156,0.00384,
1.6524,1.24743,0.40497,0.24508241,-0.0033,-0.00242,-0.00088,
1.6598,1.25294,0.40686,0.245128127,0.0074,0.00551,0.00189,
1.6718,1.26198,0.40982,0.245134006,0.012,0.00905,0.00295,
1.6939,1.27873,0.41517,0.245096253,0.0221,0.01675,0.00535,
1.7185,1.29736,0.42114,0.245060746,0.0246,0.01863,0.00597,
1.7397,1.31336,0.42634,0.245064763,0.0212,0.016,0.0052,
1.7291,1.3053,0.4238,0.24509934,-0.0106,-0.00806,-0.00254,
1.7333,1.30851,0.42479,0.245075415,0.0042,0.00321,0.00099,
1.763,1.3311,0.4319,0.244980234,0.0297,0.02259,0.00711,
1.7666,1.33376,0.43284,0.245010616,0.0036,0.00266,0.00094,
1.8074,1.36472,0.44268,0.244928421,0.0408,0.03095,0.00985,
1.8147,1.37019,0.44451,0.244951366,0.0073,0.00547,0.00183,
1.7926,1.35342,0.43918,0.244994857,-0.0221,-0.01676,-0.00534,
1.8061,1.36367,0.44243,0.244964438,0.0135,0.01025,0.00325,
1.8337,1.38481,0.44889,0.244799849,0.0276,0.02114,0.00646,
1.8382,1.38798,0.45022,0.244922704,0.0045,0.00317,0.00133,
1.8457,1.39363,0.45207,0.244930031,0.0075,0.00565,0.00185,
1.8345,1.38522,0.44928,0.244904289,-0.0112,-0.00841,-0.00279,
1.8289,1.38094,0.44796,0.244933434,-0.0056,-0.00428,-0.00132,
1.8399,1.38925,0.45065,0.244933954,0.011,0.0083,0.0027,
1.8375,1.38746,0.45004,0.244918856,-0.0024,-0.00178,-0.00062,
1.8255,1.3784,0.4471,0.244921864,-0.012,-0.00907,-0.00293,
1.8429,1.39161,0.45129,0.244881338,0.0174,0.01321,0.00419,
1.8563,1.40173,0.45457,0.244881316,0.0134,0.01012,0.00328,
1.8693,1.4115,0.4578,0.244906094,0.013,0.00977,0.00323,
1.8526,1.39879,0.45381,0.244956645,-0.0167,-0.0127,-0.004,
1.845,1.39303,0.45197,0.244968924,-0.0076,-0.00576,-0.00184,
1.8373,1.38722,0.45008,0.244967132,-0.0077,-0.00581,-0.00189,
1.8579,1.40279,0.45511,0.244959099,0.0206,0.01557,0.00503,
1.8725,1.41404,0.45846,0.244840501,0.0146,0.01125,0.00335,
1.8504,1.39719,0.45321,0.244922902,-0.0221,-0.01684,-0.00526,
1.8456,1.39363,0.45197,0.24488931,-0.0048,-0.00356,-0.00124,
1.8677,1.41039,0.45731,0.244854142,0.0221,0.01675,0.00535,
1.8647,1.40807,0.45663,0.244883452,-0.003,-0.00232,-0.00068,
1.8688,1.41118,0.45762,0.244876273,0.0041,0.00311,0.00099,
1.8545,1.40028,0.45422,0.244926426,-0.0143,-0.01089,-0.00341,
1.8222,1.37607,0.44613,0.244830617,-0.0323,-0.02421,-0.00809,
1.826,1.37878,0.44722,0.244920451,0.0038,0.00271,0.00109,
1.8089,1.36589,0.44301,0.244903386,-0.0171,-0.01288,-0.00422,
1.8205,1.3747,0.4458,0.244879201,0.0116,0.0088,0.0028,
1.8177,1.37261,0.44509,0.244863029,-0.0028,-0.00208,-0.00072,
1.8111,1.36766,0.44344,0.244846756,-0.0066,-0.00495,-0.00165,
1.8279,1.38037,0.44753,0.244833154,0.0168,0.01271,0.00409,
1.8273,1.37974,0.44756,0.244930784,-0.0006,-0.00063,0.00003,
1.8247,1.37781,0.44689,0.244911535,-0.0026,-0.00193,-0.00067,
1.8317,1.38304,0.44866,0.244939842,0.007,0.00523,0.00177,
1.8315,1.38292,0.44858,0.244922851,-0.0002,-0.00012,-0.00008,
1.8444,1.3927,0.4517,0.244902496,0.0129,0.00978,0.00312,
1.8539,1.39987,0.45403,0.244903737,0.0095,0.00717,0.00233,
1.8498,1.3968,0.453,0.244890474,-0.0041,-0.00307,-0.00103,
1.8477,1.39517,0.45253,0.24491373,-0.0021,-0.00163,-0.00047,
1.8344,1.38513,0.44927,0.244911455,-0.0133,-0.01004,-0.00326,
1.8186,1.37333,0.44527,0.24484196,-0.0158,-0.0118,-0.004,
1.8037,1.36198,0.44172,0.24489688,-0.0149,-0.01135,-0.00355,
1.8231,1.37667,0.44643,0.24487652,0.0194,0.01469,0.00471,
1.816,1.37122,0.44478,0.244925251,-0.0071,-0.00545,-0.00165,
1.8234,1.37684,0.44656,0.244904902,0.0074,0.00562,0.00178,
1.8194,1.37376,0.44564,0.24493812,-0.004,-0.00308,-0.00092,
1.8133,1.36905,0.44425,0.24499298,-0.0061,-0.00471,-0.00139,
1.814,1.36961,0.44439,0.244979266,0.0007,0.00055,0.00015,
1.8243,1.37736,0.44694,0.244994013,0.0103,0.00775,0.00255,
1.8573,1.40224,0.45506,0.245009192,0.033,0.02489,0.00811,
1.8382,1.3879,0.4503,0.244966377,-0.0191,-0.01434,-0.00476,
1.8582,1.40306,0.45514,0.244937312,0.02,0.01515,0.00485,
1.845,1.39303,0.45197,0.244972681,-0.0132,-0.01003,-0.00317,
1.8312,1.38267,0.44853,0.244936843,-0.0138,-0.01035,-0.00345,
1.8354,1.38622,0.44918,0.244734105,0.0042,0.00354,0.00066,
1.8348,1.38572,0.44908,0.244758556,-0.0006,-0.0005,-0.0001,
1.824,1.37752,0.44648,0.2447819,-0.0108,-0.0082,-0.0026,
1.8288,1.38111,0.44769,0.244800789,0.0048,0.00359,0.00121,
1.8193,1.37385,0.44545,0.244849041,-0.0095,-0.00726,-0.00224,
1.812,1.36831,0.44369,0.244864621,-0.0073,-0.00554,-0.00176,
1.8236,1.37714,0.44646,0.244825276,0.0116,0.00883,0.00277,
1.8381,1.38826,0.44984,0.244731174,0.0145,0.01112,0.00338,
1.8302,1.38228,0.44792,0.244738436,-0.0079,-0.00598,-0.00192,
1.8337,1.38497,0.44873,0.244711862,0.0035,0.00269,0.00081,
1.8376,1.38807,0.44953,0.244628905,0.0039,0.0031,0.0008,
1.8353,1.38636,0.44894,0.244613757,-0.0023,-0.00171,-0.00059,
1.824,1.37778,0.44622,0.244636699,-0.0113,-0.00858,-0.00272,
1.823,1.37694,0.44606,0.244684414,-0.001,-0.00084,-0.00016,
1.8234,1.3774,0.446,0.244599382,0.0004,0.00046,-0.00006,
1.8264,1.37964,0.44676,0.244610541,0.003,0.00225,0.00075,
1.8385,1.38877,0.44973,0.24461737,0.0121,0.00913,0.00297,
1.8464,1.39472,0.45168,0.244628251,0.0079,0.00595,0.00195,
1.8499,1.39733,0.45257,0.244644472,0.0035,0.00261,0.00089,
1.8392,1.38923,0.44997,0.244656536,-0.0107,-0.0081,-0.0026,
1.8414,1.39087,0.45053,0.24466595,0.0022,0.00164,0.00056,
1.8184,1.37338,0.44502,0.244730628,-0.023,-0.01749,-0.00551,
1.8315,1.38328,0.44822,0.244727079,0.0131,0.0099,0.0032,
1.8192,1.3738,0.4454,0.244831624,-0.0123,-0.00948,-0.00282,
1.8288,1.38111,0.44769,0.244799634,0.0096,0.00731,0.00229,
1.842,1.39107,0.45093,0.244804424,0.0132,0.00996,0.00324,
1.8435,1.39216,0.45134,0.244827509,0.0015,0.00109,0.00041,
1.843,1.39171,0.45129,0.244866791,-0.0005,-0.00045,-0.00005,
1.8508,1.39766,0.45314,0.244835018,0.0078,0.00595,0.00185,
1.8325,1.38383,0.44867,0.244840113,-0.0183,-0.01383,-0.00447,
1.8055,1.36334,0.44216,0.244894926,-0.027,-0.02049,-0.00651,
1.7843,1.34737,0.43693,0.244874507,-0.0212,-0.01597,-0.00523,
1.8057,1.36358,0.44212,0.244845126,0.0214,0.01621,0.00519,
1.8267,1.37946,0.44724,0.244832934,0.021,0.01588,0.00512,
1.8154,1.37084,0.44456,0.244882776,-0.0113,-0.00862,-0.00268,
1.8181,1.37277,0.44533,0.244939928,0.0027,0.00193,0.00077,
1.8196,1.37397,0.44563,0.244908071,0.0015,0.00119,0.00031,
1.8211,1.37514,0.44596,0.244883423,0.0015,0.00118,0.00032,
1.8161,1.37135,0.44475,0.244893347,-0.005,-0.00379,-0.00121,
1.8309,1.38252,0.44838,0.244895622,0.0148,0.01117,0.00363,
1.8385,1.38831,0.45019,0.24486788,0.0076,0.00579,0.00181,
1.8246,1.37769,0.44691,0.244933259,-0.0139,-0.01062,-0.00328,
1.8238,1.37718,0.44662,0.244886755,-0.0008,-0.00052,-0.00028,
1.8257,1.37858,0.44712,0.244901927,0.0019,0.00141,0.00049,
1.8299,1.38163,0.44827,0.244971836,0.0042,0.00304,0.00116,
1.825,1.378,0.447,0.244931584,-0.0049,-0.00363,-0.00127,
1.8169,1.37181,0.44509,0.244971775,-0.0081,-0.00619,-0.00191,
1.8078,1.36492,0.44288,0.244981202,-0.0091,-0.00689,-0.00221,
1.7826,1.34572,0.43688,0.245078302,-0.0252,-0.0192,-0.006,
1.7885,1.35023,0.43827,0.245051697,0.0059,0.0045,0.0014,
1.7831,1.34625,0.43685,0.244996122,-0.0054,-0.00398,-0.00142,
1.7637,1.3317,0.432,0.244939696,-0.0194,-0.01455,-0.00485,
1.7549,1.32503,0.42987,0.244952744,-0.0088,-0.00667,-0.00213,
1.7744,1.33986,0.43454,0.244894025,0.0195,0.01483,0.00467,
1.7946,1.35504,0.43956,0.244934831,0.0202,0.01518,0.00502,
1.7893,1.35101,0.43829,0.244950519,-0.0053,-0.00403,-0.00127,
1.7859,1.34843,0.43747,0.24495698,-0.0034,-0.00258,-0.00082,
1.7692,1.33571,0.43349,0.245019798,-0.0167,-0.01272,-0.00398,
1.7554,1.32519,0.43021,0.245076835,-0.0138,-0.01052,-0.00328,
1.7489,1.32034,0.42856,0.245047739,-0.0065,-0.00486,-0.00164,
1.7606,1.32919,0.43141,0.245036365,0.0117,0.00885,0.00285,
1.7505,1.32149,0.42901,0.245081019,-0.0101,-0.0077,-0.0024,
1.7367,1.31101,0.42569,0.245113158,-0.0138,-0.01047,-0.00333,
1.7442,1.31668,0.42752,0.245111259,0.0075,0.00566,0.00184,
1.7657,1.33288,0.43282,0.24512507,0.0215,0.01621,0.00529,
1.7688,1.33518,0.43362,0.245150035,0.0031,0.0023,0.0008,
1.7705,1.33655,0.43395,0.245101342,0.0017,0.00137,0.00033,
1.7724,1.33798,0.43442,0.245104635,0.0019,0.00143,0.00047,
1.7688,1.33519,0.43361,0.245142043,-0.0036,-0.00278,-0.00082,
1.7649,1.33222,0.43268,0.245160927,-0.0039,-0.00298,-0.00092,
1.7636,1.33121,0.43239,0.245172655,-0.0013,-0.001,-0.0003,
1.7531,1.32314,0.42996,0.245254332,-0.0105,-0.00807,-0.00243,
1.8088,1.36552,0.44328,0.245066794,0.0557,0.04238,0.01332,
1.8341,1.38463,0.44947,0.245061372,0.0253,0.01911,0.00619,
1.8217,1.37547,0.44623,0.244950161,-0.0124,-0.00916,-0.00324,
1.8309,1.38235,0.44855,0.244986916,0.0092,0.00688,0.00232,
1.846,1.39372,0.45228,0.24500473,0.0151,0.01137,0.00373,
1.8444,1.39249,0.45191,0.245016843,-0.0016,-0.00123,-0.00037,
1.8353,1.38558,0.44972,0.24503658,-0.0091,-0.00691,-0.00219,
1.8439,1.3921,0.4518,0.24502209,0.0086,0.00652,0.00208,
1.8598,1.40432,0.45548,0.244909113,0.0159,0.01221,0.00369,
1.8599,1.40427,0.45563,0.244974265,0.0001,-0.00005,0.00015,
1.856,1.40147,0.45453,0.244898572,-0.0039,-0.0028,-0.0011,
1.8585,1.40333,0.45517,0.244914038,0.0025,0.00186,0.00064,
1.8684,1.41096,0.45744,0.244828555,0.0099,0.00764,0.00226,
1.8557,1.40125,0.45445,0.244894155,-0.0127,-0.00971,-0.00299,
1.8609,1.40513,0.45577,0.244917472,0.0052,0.00388,0.00132,
1.8626,1.40659,0.45601,0.244825507,0.0017,0.00145,0.00025,
1.8792,1.41902,0.46018,0.244882941,0.0166,0.01243,0.00417,
1.8834,1.42213,0.46127,0.244914672,0.0042,0.00311,0.00109,
1.8854,1.42388,0.46152,0.244785973,0.002,0.00175,0.00025,
1.8848,1.42349,0.46131,0.24475533,-0.0006,-0.0004,-0.0002,
1.8799,1.41981,0.46009,0.244744133,-0.0049,-0.00368,-0.00122,
1.8815,1.42094,0.46056,0.244786066,0.0016,0.00113,0.00047,
1.8686,1.41092,0.45768,0.244933254,-0.0129,-0.01002,-0.00288,
1.8779,1.41792,0.45998,0.244942739,0.0093,0.007,0.0023,
1.8731,1.41424,0.45886,0.24497196,-0.0048,-0.00368,-0.00112,
1.8743,1.41515,0.45915,0.244970672,0.0012,0.00091,0.00029,
1.8699,1.41181,0.45809,0.24498275,-0.0044,-0.00334,-0.00106,
1.8607,1.40499,0.45571,0.244912312,-0.0092,-0.00682,-0.00238,
1.8738,1.41484,0.45896,0.244936624,0.0131,0.00985,0.00325,
1.847,1.39458,0.45242,0.244950909,-0.0268,-0.02026,-0.00654,
1.8407,1.39004,0.45066,0.244829549,-0.0063,-0.00453,-0.00177,
1.8697,1.41198,0.45772,0.244810031,0.029,0.02194,0.00706,
1.8602,1.40479,0.45541,0.244818243,-0.0095,-0.00719,-0.00231,
1.8547,1.40058,0.45412,0.244847291,-0.0055,-0.00421,-0.00129,
1.858,1.40297,0.45503,0.244901733,0.0033,0.00239,0.00091,
1.8692,1.41135,0.45785,0.244943426,0.0112,0.00838,0.00282,
1.8716,1.41344,0.45816,0.244797198,0.0024,0.00209,0.00031,
1.8846,1.42341,0.46119,0.244712619,0.013,0.00998,0.00302,
1.8892,1.42682,0.46238,0.244750429,0.0046,0.0034,0.0012,
1.8903,1.42752,0.46278,0.24481696,0.0011,0.00071,0.00039,
1.8955,1.43132,0.46418,0.244883944,0.0052,0.0038,0.0014,
1.8917,1.42844,0.46326,0.244888763,-0.0038,-0.00288,-0.00092,
1.8912,1.42802,0.46318,0.244914653,-0.0005,-0.00043,-0.00007,
1.8901,1.42728,0.46282,0.24486733,-0.0011,-0.00074,-0.00036,
1.8903,1.42768,0.46262,0.244735918,0.0002,0.0004,-0.0002,
1.8836,1.42251,0.46109,0.244789899,-0.0067,-0.00516,-0.00154,
1.8839,1.42273,0.46117,0.244797084,0.0003,0.00021,0.00009,
1.8873,1.42551,0.46179,0.244684978,0.0034,0.00278,0.00062,
1.8772,1.41773,0.45947,0.244765738,-0.0101,-0.00778,-0.00232,
1.8826,1.42185,0.46075,0.244743794,0.0054,0.00412,0.00128,
1.8845,1.42333,0.46117,0.24472001,0.0019,0.00148,0.00042,
1.8931,1.42975,0.46335,0.24475881,0.0086,0.00642,0.00218,
1.8859,1.42436,0.46154,0.244729589,-0.0072,-0.00538,-0.00182,
1.877,1.41765,0.45935,0.244724252,-0.0089,-0.00671,-0.00219,
1.865,1.40858,0.45642,0.244727293,-0.012,-0.00907,-0.00293,
1.879,1.41902,0.45998,0.244801615,0.014,0.01043,0.00357,
1.8608,1.4053,0.4555,0.244789751,-0.0182,-0.01372,-0.00448,
1.8626,1.40663,0.45597,0.244803752,0.0018,0.00133,0.00047,
1.8727,1.41426,0.45844,0.24480026,0.0101,0.00763,0.00247,
1.8664,1.40954,0.45686,0.24477958,-0.0063,-0.00472,-0.00158,
1.8569,1.40234,0.45456,0.244796428,-0.0095,-0.00721,-0.00229,
1.8465,1.39448,0.45202,0.244800756,-0.0104,-0.00786,-0.00254,
1.8532,1.39951,0.45369,0.244816131,0.0067,0.00503,0.00167,
1.8493,1.39664,0.45266,0.244776056,-0.0039,-0.00287,-0.00103,
1.8538,1.39992,0.45388,0.244836712,0.0045,0.00329,0.00121,
1.8481,1.39559,0.45251,0.244848932,-0.0057,-0.00433,-0.00137,
1.8422,1.39106,0.45114,0.244890925,-0.0059,-0.00453,-0.00137,
1.8421,1.39102,0.45108,0.244872664,-0.0001,-0.00004,-0.00006,
1.8388,1.3886,0.4502,0.244831095,-0.0033,-0.00242,-0.00088,
1.8508,1.39777,0.45303,0.244776738,0.012,0.00916,0.00284,
1.8547,1.40071,0.45399,0.244777007,0.0039,0.00294,0.00096,
1.8528,1.3996,0.4532,0.244603089,-0.0019,-0.00111,-0.00079,
1.8687,1.41162,0.45708,0.244599832,0.0159,0.01202,0.00388,
1.8813,1.42111,0.46019,0.244611922,0.0126,0.0095,0.0031,
1.8807,1.42068,0.46002,0.244600084,-0.0006,-0.00043,-0.00017,
1.8985,1.43422,0.46428,0.244553187,0.0178,0.01354,0.00426,
1.8937,1.43063,0.46307,0.244533959,-0.0048,-0.00359,-0.00121,
1.8973,1.43353,0.46377,0.244437352,0.0036,0.0029,0.0007,
1.9112,1.44441,0.46679,0.244240897,0.0139,0.01088,0.00302,
1.9296,1.4584,0.4712,0.244195017,0.0184,0.01399,0.00441,
1.9428,1.46842,0.47438,0.244174172,0.0132,0.01002,0.00318,
1.9351,1.46224,0.47286,0.244359976,-0.0077,-0.00618,-0.00152,
1.9288,1.45749,0.47131,0.24435206,-0.0063,-0.00475,-0.00155,
1.9185,1.44981,0.46869,0.244301612,-0.0103,-0.00769,-0.00261,
1.9201,1.45111,0.46899,0.244252529,0.0016,0.0013,0.0003,
